ArrayExpress ID	GEO ID	Experiment Type	Evaluation State	Study Type	Curation State	Variables
E-GEOD-15336	GSE15336	transcription profiling by array	Yes	Differential	Done	genotype
E-GEOD-12503	GSE12503	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18538	GSE18538	transcription profiling by array	Yes	Baseline	Done	anatomical structure
E-GEOD-10035	GSE10035	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-7217	GSE7217	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19817	GSE19817	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16396	GSE16396	transcription profiling by array	Yes	Baseline	Done	age
E-GEOD-8358	GSE8358	transcription profiling by array	Yes	Baseline	Done	anatomical structure|mouse strain
E-GEOD-16187	GSE16187	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19316	GSE19316	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18151	GSE18151	transcription profiling by array	Yes	Baseline	Done	age|mouse strain
E-GEOD-17067	GSE17067	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18045	GSE18045	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14372	GSE14372	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18062	GSE18062	transcription profiling by array	Yes	Differential	Done	genotype
E-GEOD-14971	GSE14971	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-20384	GSE20384	RNA-Seq	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2089	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17263	GSE17263	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19194	GSE19194	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19075	GSE19075	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15492	GSE15492	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15917	GSE15917	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15848	GSE15848	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15753	GSE15753	transcription profiling by array	Yes	Baseline	Done	anatomical structure
E-GEOD-14006	GSE14006	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13163	GSE13163	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21087	GSE21087	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13520	GSE13520	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15419	GSE15419	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19204	GSE19204	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18604	GSE18604	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14454	GSE14454	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13635	GSE13635	transcription profiling by array	Yes	Differential	Done	genotype
E-MTAB-152	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18824	GSE18824	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16756	GSE16756	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14645	GSE14645	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12683	GSE12683	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-20160	GSE20160	transcription profiling by array	Yes	Baseline	Done	anatomical structure|mouse strain
E-GEOD-14906	GSE14906	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13869	GSE13869	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17986	GSE17986	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16454	GSE16454	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18160	GSE18160	transcription profiling by array	Yes	Differential	Done	age|genotype
E-MEXP-2002	None	transcription profiling by array	Yes	Baseline	Done	sex
E-GEOD-19172	GSE19172	RNA-Seq	Yes	Baseline	Done	Not Applicable
E-MEXP-1461	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19304	GSE19304	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17423	GSE17423	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14481	GSE14481	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14242	GSE14242	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19454	GSE19454	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14216	GSE14216	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-9287	GSE9287	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19402	GSE19402	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2428	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11013	GSE11013	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MTAB-127	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16647	GSE16647	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16012	GSE16012	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18281	GSE18281	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14395	GSE14395	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13526	GSE13526	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18704	GSE18704	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18914	GSE18914	transcription profiling by array	Yes	Baseline	Done	species
E-MEXP-1881	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15832	GSE15832	transcription profiling by array	Yes	Differential	Done	Not Applicable
E-GEOD-17723	GSE17723	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2321	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2245	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18358	GSE18358	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1849	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1848	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15582	GSE15582	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17990	GSE17990	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1873	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14270	GSE14270	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14549	GSE14549	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12748	GSE12748	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14710	GSE14710	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2320	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17923	GSE17923	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11516	GSE11516	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17869	GSE17869	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11381	GSE11381	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17649	GSE17649	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-9004	GSE9004	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2201	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
